City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Castro,BR,67.14,overcast clouds,-24.79,-50.01,CHACARA BAILLY
1,Vaini,TO,77.0,scattered clouds,-21.2,-175.2,Keleti Beach Resort
3,Mataura,NZ,46.99,overcast clouds,-46.19,168.86,Ellie's Villa
4,Belmonte,BR,75.2,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
5,Bengkulu,ID,77.79,few clouds,-3.8,102.27,Grage Hotel Bengkulu
6,Severo-Kurilsk,RU,53.15,clear sky,50.68,156.12,Kak Doma
7,Rikitea,PF,74.32,clear sky,-23.12,-134.97,Pension Maro'i
10,Atuona,PF,78.35,clear sky,-9.8,-139.03,Villa Enata
11,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
12,Bani Walid,LY,73.18,clear sky,31.76,13.99,منزل الصابر أبوفانة
13,Lompoc,US,64.99,haze,34.64,-120.46,Holiday Inn Express Lompoc
14,Arraial Do Cabo,BR,72.21,clear sky,-22.97,-42.03,Pousada Porto Praia
15,Poronaysk,RU,60.89,clear sky,49.22,143.12,Avtovokzal Khostel Stolovaya
17,Yining,CN,69.98,overcast clouds,29.04,114.56,Xiushui Hotel
18,Pasni,PK,85.03,overcast clouds,25.26,63.47,3G hotel pasni
21,Faanui,PF,78.67,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
22,Ponta Do Sol,PT,69.8,few clouds,32.67,-17.1,Hotel do Campo
23,Mujiayingzi,CN,58.93,light rain,42.12,118.78,Jinjiang Hotel
24,Airai,TL,70.63,broken clouds,-8.93,125.41,Juvinal Martin
25,Esperance,AU,55.4,clear sky,-33.87,121.9,Hospitality Esperance
26,Sur,OM,80.13,overcast clouds,22.57,59.53,Sur Plaza Hotel
27,Mar Del Plata,AR,50.0,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
28,Tumut,AU,60.6,clear sky,-35.3,148.22,Amaroo Motel
29,Codrington,AU,55.87,few clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
30,Mount Gambier,AU,55.4,overcast clouds,-37.83,140.77,Commodore on the Park
31,Gravdal,NO,50.13,overcast clouds,68.12,13.5,Skreda Rorbusuiter
33,Hasaki,JP,80.01,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
35,Coahuayana,MX,78.8,thunderstorm,18.73,-103.68,Hotel Los Arcos
37,Butaritari,KI,84.24,broken clouds,3.07,172.79,Isles Sunset Lodge
38,Talnakh,RU,50.0,light rain,69.49,88.4,Talnakh Hotel
41,Busselton,AU,57.99,clear sky,-33.65,115.33,Observatory Guest House
42,Saint-Joseph,RE,60.8,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
43,Nikolskoye,RU,51.01,fog,59.7,30.79,Tourist House - Sablino
44,Goderich,CA,60.01,clear sky,43.75,-81.72,Harmony Inn
45,Torbay,CA,64.0,overcast clouds,47.67,-52.73,Gallows Cove
46,Camana,PE,63.5,overcast clouds,-16.62,-72.71,Hostal Morales
48,Saint-Denis,FR,75.0,clear sky,48.92,2.33,Appart'City Paris Clichy Mairie - Appart Hôtel
49,Torit,SS,68.94,clear sky,4.41,32.57,Diplomat Guest House
