City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pimenta Bueno,BR,2020-08-30 20:13:22,-11.67,-61.19,101.35,19,34,5.06
1,Hilo,US,2020-08-30 20:10:04,19.73,-155.09,82.4,65,90,3.36
2,Bluff,NZ,2020-08-30 20:10:30,-46.6,168.33,52.29,62,99,22.57
3,Mayor Pablo Lagerenza,PY,2020-08-30 20:13:23,-19.93,-60.77,87.66,39,40,11.3
4,Xuddur,SO,2020-08-30 20:13:23,4.12,43.89,75.85,69,0,20.33
5,Kamenka,RU,2020-08-30 20:13:24,51.32,42.77,65.62,52,0,6.51
6,Ushuaia,AR,2020-08-30 20:08:26,-54.8,-68.3,28.4,92,75,29.97
7,Georgetown,MY,2020-08-30 20:11:39,5.41,100.34,80.6,94,40,3.36
8,Odweyne,SO,2020-08-30 20:13:24,9.41,45.06,82.11,42,99,12.66
9,Paamiut,GL,2020-08-30 20:13:25,61.99,-49.67,47.68,66,67,15.61
10,Cape Town,ZA,2020-08-30 20:13:25,-33.93,18.42,43.0,81,0,8.05
11,Iranshahr,IR,2020-08-30 20:13:25,27.2,60.68,91.4,10,6,13.87
12,Kaitangata,NZ,2020-08-30 20:13:26,-46.28,169.85,51.01,47,100,1.99
13,Hobart,AU,2020-08-30 20:09:04,-42.88,147.33,44.6,56,10,10.29
14,Rikitea,PF,2020-08-30 20:13:26,-23.12,-134.97,69.21,83,24,19.82
15,Juegang,CN,2020-08-30 20:13:27,32.32,121.19,82.0,57,2,6.76
16,Tilichiki,RU,2020-08-30 20:13:27,60.47,166.1,46.29,81,96,9.35
17,Albany,US,2020-08-30 20:13:27,42.6,-73.97,71.01,42,0,13.24
18,Saint George,US,2020-08-30 20:10:46,37.1,-113.58,96.01,17,1,4.7
19,Esperance,AU,2020-08-30 20:13:28,-33.87,121.9,42.8,93,0,10.29
20,Sibolga,ID,2020-08-30 20:13:29,1.74,98.78,75.79,84,100,3.62
21,Oussouye,SN,2020-08-30 20:13:29,12.48,-16.55,82.4,88,75,6.93
22,Podyuga,RU,2020-08-30 20:13:29,61.09,40.86,46.0,96,84,3.27
23,Busselton,AU,2020-08-30 20:13:30,-33.65,115.33,39.99,74,0,3.58
24,Puerto Ayora,EC,2020-08-30 20:13:30,-0.74,-90.35,77.0,57,100,19.46
25,Waddan,LY,2020-08-30 20:13:31,29.16,16.14,84.56,29,0,17.0
26,Viedma,AR,2020-08-30 20:13:32,-40.81,-63.0,57.0,41,0,4.0
27,Vaini,TO,2020-08-30 20:13:32,-21.2,-175.2,75.2,94,75,12.75
28,Yellowknife,CA,2020-08-30 20:13:33,62.46,-114.35,53.6,58,40,16.11
29,Cabo San Lucas,MX,2020-08-30 20:11:45,22.89,-109.91,89.01,78,20,8.05
30,Bathsheba,BB,2020-08-30 20:13:33,13.22,-59.52,87.8,70,40,12.75
31,Kahului,US,2020-08-30 20:13:34,20.89,-156.47,84.2,54,20,21.92
32,Tuktoyaktuk,CA,2020-08-30 20:13:34,69.45,-133.04,41.0,93,75,14.99
33,Ust-Uda,RU,2020-08-30 20:13:34,54.17,103.03,50.25,92,1,3.71
34,Lamar,US,2020-08-30 20:13:35,33.67,-95.58,90.0,74,1,6.93
35,Pevek,RU,2020-08-30 20:12:10,69.7,170.31,37.67,86,14,2.37
36,Iqaluit,CA,2020-08-30 20:13:35,63.75,-68.51,48.2,76,20,5.82
37,Vilyuysk,RU,2020-08-30 20:13:35,63.76,121.62,47.46,91,0,2.53
38,Saiki,JP,2020-08-30 20:13:36,32.95,131.9,75.0,98,0,3.67
39,Hithadhoo,MV,2020-08-30 20:13:36,-0.6,73.08,82.26,76,15,11.61
