Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.79,-50.01,67.14,64,100,7.14,overcast clouds
1,Vaini,TO,-21.2,-175.2,77.0,73,40,8.05,scattered clouds
2,Provideniya,RU,64.38,-173.3,50.0,76,75,13.42,broken clouds
3,Mataura,NZ,-46.19,168.86,46.99,76,100,7.0,overcast clouds
4,Belmonte,BR,-15.86,-38.88,75.2,78,40,8.05,scattered clouds
5,Bengkulu,ID,-3.8,102.27,77.79,86,11,4.21,few clouds
6,Severo-Kurilsk,RU,50.68,156.12,53.15,72,0,15.9,clear sky
7,Rikitea,PF,-23.12,-134.97,74.32,82,1,13.06,clear sky
8,Hermanus,ZA,-34.42,19.23,39.99,94,91,5.68,overcast clouds
9,Cape Town,ZA,-33.93,18.42,44.6,87,18,1.12,few clouds
10,Atuona,PF,-9.8,-139.03,78.35,72,0,15.99,clear sky
11,Hilo,US,19.73,-155.09,82.4,58,90,11.41,overcast clouds
12,Bani Walid,LY,31.76,13.99,73.18,71,0,10.25,clear sky
13,Lompoc,US,34.64,-120.46,64.99,72,1,12.75,haze
14,Arraial Do Cabo,BR,-22.97,-42.03,72.21,83,0,19.3,clear sky
15,Poronaysk,RU,49.22,143.12,60.89,68,0,8.12,clear sky
16,Ushuaia,AR,-54.8,-68.3,35.6,93,40,10.29,shower rain
17,Yining,CN,29.04,114.56,69.98,88,100,0.81,overcast clouds
18,Pasni,PK,25.26,63.47,85.03,54,100,11.16,overcast clouds
19,Pangnirtung,CA,66.15,-65.71,36.41,75,98,1.34,overcast clouds
20,Serebryanyy Bor,RU,56.8,124.8,51.3,93,100,1.97,light rain
21,Faanui,PF,-16.48,-151.75,78.67,73,91,11.16,overcast clouds
22,Ponta Do Sol,PT,32.67,-17.1,69.8,83,20,3.36,few clouds
23,Mujiayingzi,CN,42.12,118.78,58.93,90,100,3.36,light rain
24,Airai,TL,-8.93,125.41,70.63,45,78,6.29,broken clouds
25,Esperance,AU,-33.87,121.9,55.4,93,7,14.99,clear sky
26,Sur,OM,22.57,59.53,80.13,62,100,2.59,overcast clouds
27,Mar Del Plata,AR,-38.0,-57.56,50.0,65,0,6.93,clear sky
28,Tumut,AU,-35.3,148.22,60.6,65,1,4.74,clear sky
29,Codrington,AU,-38.27,141.97,55.87,71,11,5.41,few clouds
30,Mount Gambier,AU,-37.83,140.77,55.4,66,90,8.05,overcast clouds
31,Gravdal,NO,68.12,13.5,50.13,80,95,6.71,overcast clouds
32,Chokurdakh,RU,70.63,147.92,45.09,83,100,9.55,overcast clouds
33,Hasaki,JP,35.73,140.83,80.01,74,75,12.75,broken clouds
34,Verkhoyansk,RU,67.54,133.38,47.26,77,93,5.66,overcast clouds
35,Coahuayana,MX,18.73,-103.68,78.8,83,90,11.41,thunderstorm
36,Aranos,NA,-24.13,19.12,55.63,36,0,7.56,clear sky
37,Butaritari,KI,3.07,172.79,84.24,73,63,17.78,broken clouds
38,Talnakh,RU,69.49,88.4,50.0,93,100,11.18,light rain
39,Tiksi,RU,71.69,128.87,43.52,83,9,8.28,clear sky
40,Chuy,UY,-33.7,-53.46,44.46,78,0,5.55,clear sky
41,Busselton,AU,-33.65,115.33,57.99,85,0,10.87,clear sky
42,Saint-Joseph,RE,-21.37,55.62,60.8,59,20,8.05,few clouds
43,Nikolskoye,RU,59.7,30.79,51.01,87,0,6.71,fog
44,Goderich,CA,43.75,-81.72,60.01,79,0,9.69,clear sky
45,Torbay,CA,47.67,-52.73,64.0,93,90,21.92,overcast clouds
46,Camana,PE,-16.62,-72.71,63.5,70,100,6.98,overcast clouds
47,Omaruru,NA,-21.43,15.93,50.27,46,0,3.96,clear sky
48,Saint-Denis,FR,48.92,2.33,75.0,63,0,3.36,clear sky
49,Torit,SS,4.41,32.57,68.94,89,0,1.03,clear sky
50,Narsaq,GL,60.92,-46.05,51.8,29,100,18.34,light rain
51,Barrow,US,71.29,-156.79,39.2,93,90,12.75,overcast clouds
52,Floro,NO,61.6,5.03,55.4,100,100,11.41,light intensity drizzle
53,Caborca,MX,30.58,-111.1,95.0,31,0,6.58,clear sky
54,Bacolod,PH,10.67,122.95,78.49,87,100,4.41,overcast clouds
55,Benevides,BR,-1.36,-48.24,82.4,78,100,5.82,overcast clouds
56,Nishihara,JP,26.18,127.76,86.0,78,75,4.83,broken clouds
57,Meulaboh,ID,4.14,96.13,78.94,80,78,4.65,broken clouds
58,Mnogovershinnyy,RU,53.94,139.92,67.66,65,100,5.14,overcast clouds
59,Sar-E Pul,AF,35.83,66.17,43.29,61,0,2.33,clear sky
60,East London,ZA,-33.02,27.91,57.96,59,0,16.84,clear sky
61,Labytnangi,RU,66.66,66.42,49.51,96,100,8.77,light rain
62,Tuktoyaktuk,CA,69.45,-133.04,33.8,80,90,9.17,overcast clouds
63,Carnarvon,AU,-24.87,113.63,69.8,100,6,9.17,light rain
64,Lavrentiya,RU,65.58,-171.0,44.47,96,100,5.95,light rain
65,Pathein,MM,16.78,94.73,80.35,86,100,2.15,overcast clouds
66,Killybegs,IE,54.63,-8.45,59.0,91,59,1.01,broken clouds
67,Srednekolymsk,RU,67.45,153.68,49.62,60,98,9.78,overcast clouds
68,Chopovychi,UA,50.83,28.95,57.42,93,1,4.14,clear sky
69,Ballarat,AU,-37.57,143.85,60.01,58,0,1.01,clear sky
70,Jamestown,US,42.1,-79.24,51.8,71,1,3.36,clear sky
71,Trincomalee,LK,8.57,81.23,81.77,75,100,19.3,overcast clouds
72,Naze,JP,28.37,129.48,82.4,88,75,6.93,broken clouds
73,Souillac,MU,-20.52,57.52,68.0,68,75,14.99,broken clouds
74,San Carlos De Bariloche,AR,-41.15,-71.31,51.8,57,40,12.75,scattered clouds
75,Bluff,NZ,-46.6,168.33,46.99,76,100,7.0,overcast clouds
76,Saint-Philippe,RE,-21.36,55.77,60.8,59,20,8.05,few clouds
77,Marienburg,PL,54.04,19.03,57.99,93,79,1.12,broken clouds
78,Vidim,RU,56.41,103.11,46.33,75,0,8.63,clear sky
79,Bisho,ZA,-32.85,27.44,47.55,69,2,7.78,clear sky
80,Avarua,CK,-21.21,-159.78,75.2,64,45,12.75,scattered clouds
81,Dongsheng,CN,39.82,109.98,59.99,32,0,15.23,clear sky
82,Surgut,RU,61.25,73.42,53.6,76,100,8.95,overcast clouds
83,Roma,US,43.21,-75.46,53.6,66,1,6.08,clear sky
84,Richards Bay,ZA,-28.78,32.04,66.56,75,100,7.25,overcast clouds
85,Mayo,US,38.89,-76.51,73.0,60,1,8.05,clear sky
86,Puerto Quijarro,BO,-17.78,-57.77,84.11,53,0,9.53,clear sky
87,Escalerillas,MX,22.13,-101.07,64.4,82,75,5.82,broken clouds
88,Lima,PE,-12.04,-77.03,60.8,82,90,9.17,overcast clouds
89,Ulladulla,AU,-35.35,150.47,64.99,63,40,10.29,scattered clouds
90,Norman Wells,CA,65.28,-126.83,50.0,53,75,18.34,broken clouds
91,New Norfolk,AU,-42.78,147.06,57.99,62,100,7.0,overcast clouds
92,Lebu,CL,-37.62,-73.65,50.88,85,0,20.62,clear sky
93,Kapaa,US,22.08,-159.32,87.8,55,1,9.17,clear sky
94,Port Alfred,ZA,-33.59,26.89,55.04,69,7,17.29,clear sky
95,Komsomolskiy,UZ,40.43,71.72,66.2,45,0,6.93,clear sky
96,Alofi,NU,-19.06,-169.92,77.0,73,75,14.99,broken clouds
97,Bokaro,IN,23.78,85.97,80.49,86,96,3.58,overcast clouds
98,Khatanga,RU,71.97,102.5,50.92,72,52,3.89,broken clouds
99,Shetpe,KZ,44.17,52.12,60.22,67,0,6.91,clear sky
100,Iranshahr,IR,27.2,60.68,75.2,12,0,6.93,clear sky
101,Innisfail,AU,-17.53,146.03,70.0,77,83,5.99,light rain
102,Mahebourg,MU,-20.41,57.7,68.0,68,75,14.99,broken clouds
103,Bredasdorp,ZA,-34.53,20.04,41.0,86,100,1.12,overcast clouds
104,Zhanaozen,KZ,43.3,52.8,59.45,65,0,8.46,clear sky
105,Astana,KZ,51.18,71.45,55.4,58,0,13.42,clear sky
106,Cam Ranh,VN,11.92,109.16,86.0,74,20,2.24,few clouds
107,Nizwa,OM,22.93,57.53,80.78,28,100,3.02,overcast clouds
108,Santiago Del Estero,AR,-27.8,-64.26,61.32,30,100,9.26,overcast clouds
109,Fort Nelson,CA,58.81,-122.7,50.0,61,20,8.05,few clouds
110,Bambous Virieux,MU,-20.34,57.76,68.0,68,75,14.99,broken clouds
